# Data taken from https://wormatlas.org/NeuronNames.htm ;;;
PVS; Posterior Ventral Process S; AB prppppaaa; PVPR interneuron of male, cell body in preanal ganglion, sexually dimorphic connectivity
PVT; Posterior Ventral Process T; AB plpappppa; Interneuron, projects along ventral cord to ring
PVU; Posterior Ventral Process U; AB plppppaaa; PVPL interneuron of male, cell body in preanal ganglion, sexually dimorphic connectivity
PVV; Posterior Ventral Process V; P11.paaa; Male specific motor neuron, pre-anal ganglion
PVWL; Posterior Ventral Process W Left; TL.ppa; Interneuron, posterior ventral cord, few synapses
PVWR; Posterior Ventral Process W Right; TR.ppa; Interneuron, posterior ventral cord, few synapses
PVY; Posterior Ventral Process Y; P11.paap; Male specific interneuron, cell body in pre-anal ganglion
PVX; Posterior Ventral Process X; P12.aap; Male specific interneuron, cell body in pre-anal ganglion, postsynaptic in ring and ventral cord
PVZ; Posterior Ventral Process Z; P10.ppppa; Male specific motor neuron, cell body in pre-anal ganglion
R1AL; Ray 1 Neuron A Left; V5L.pppppaaa, (R1.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R1AR; Ray 1 Neuron A Right; V5R.pppppaaa, (R1.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R1BL; Ray 1 Neuron B Left; V5L.pppppapa, (R1.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion
R1BR; Ray 1 Neuron B Right; V5R.pppppapa, (R1.apaR); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
R2AL; Ray 2 Neuron A Left; V6L.papapaaa, (R2.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R2AR; Ray 2 Neuron A Right; V6R.papapaaa, (R2.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R2BL; Ray 2 Neuron B Left; V6L.papapapa, (R2.apaL); Male sensory rays, neuron, darkly staining tip, open to outside,cell body in left lumbar ganglion
R2BR; Ray 2 Neuron B Right; V6R.papapapa, (R2.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
R3AL; Ray 3 Neuron A Left; V6L.papppaaa, (R3.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R3AR; Ray 3 Neuron A Right; V6R.papppaaa, (R3.aaaL); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
R3BL; Ray 3 Neuron B Left; V6L.papppapa, (R3.apaL); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in left lumbar ganglion
R3BR; Ray 3 Neuron B Right; V6R.papppapa, (R3.apaR); Male sensory rays, neuron, darkly staining tip, open to outside, cell body in right lumbar ganglion
R4AL; Ray 4 Neuron A Left; V6L.pppapaaa, (R4.aaaL); Male sensory rays, neuron, striated rootlet, cell body in left lumbar ganglion
R4AR; Ray 4 Neuron A Right; V6R.pppapaaa, (R4.aaaR); Male sensory rays, neuron, striated rootlet, cell body in right lumbar ganglion
